STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,TIME_PERIOD,Time,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TYPE,Type,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,TV,Tuvalu,BRON,Number of bronze medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,FJ,Fiji,GOLD,Number of gold medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,TO,Tonga,SILV,Number of silver medals,SOG,Summer Olympic Games,1,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,CK,Cook Islands,GOLD,Number of gold medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,KI,Kiribati,BRON,Number of bronze medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,MH,Marshall Islands,SILV,Number of silver medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,MH,Marshall Islands,BRON,Number of bronze medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,NR,Nauru,SILV,Number of silver medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,PW,Palau,SILV,Number of silver medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,VU,Vanuatu,GOLD,Number of gold medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,TV,Tuvalu,BRON,Number of bronze medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,FJ,Fiji,PART,Number of Olympics attended,WOG,Winter Olympic Games,3,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,CK,Cook Islands,BRON,Number of bronze medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,KI,Kiribati,PART,Number of Olympics attended,SOG,Summer Olympic Games,5,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,KI,Kiribati,BRON,Number of bronze medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,MH,Marshall Islands,PART,Number of Olympics attended,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,MH,Marshall Islands,PART,Number of Olympics attended,_T,Total,4,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,MH,Marshall Islands,GOLD,Number of gold medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,MH,Marshall Islands,SILV,Number of silver medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,NR,Nauru,PART,Number of Olympics attended,SOG,Summer Olympic Games,7,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,NR,Nauru,GOLD,Number of gold medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,SB,Solomon Islands,SILV,Number of silver medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,VU,Vanuatu,GOLD,Number of gold medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,VU,Vanuatu,SILV,Number of silver medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,VU,Vanuatu,BRON,Number of bronze medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,VU,Vanuatu,SILV,Number of silver medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,FJ,Fiji,GOLD,Number of gold medals,_T,Total,2,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,FJ,Fiji,PART,Number of Olympics attended,_T,Total,18,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,CK,Cook Islands,SILV,Number of silver medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,CK,Cook Islands,BRON,Number of bronze medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,GU,Guam,SILV,Number of silver medals,SOG,Summer Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,MH,Marshall Islands,GOLD,Number of gold medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,SB,Solomon Islands,PART,Number of Olympics attended,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,SB,Solomon Islands,GOLD,Number of gold medals,WOG,Winter Olympic Games,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,SB,Solomon Islands,GOLD,Number of gold medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,SB,Solomon Islands,SILV,Number of silver medals,_T,Total,0,,N,units,,,,,,,,
DATAFLOW,SPC:DF_OLYMPICS(1.0),Olympic games,I,A,Annual,2021,,VU,Vanuatu,BRON,Number of bronze medals,_T,Total,0,,N,units,,,,,,,,
